,,price,price,yr_built,yr_built
,,min,max,min,max
city,bedrooms,,,,
Algona,2.0,100000.0,100000.0,1956,1956
Algona,3.0,196440.0,230000.0,1960,1992
Algona,4.0,248000.0,262000.0,2002,2006
Auburn,1.0,115000.0,115000.0,1962,1962
Auburn,2.0,87500.0,475000.0,1910,2004
Auburn,3.0,132500.0,900000.0,1908,2014
Auburn,4.0,0.0,835000.0,1931,2014
Auburn,5.0,254000.0,507000.0,1959,2014
Auburn,6.0,260000.0,300000.0,1977,1978
Auburn,7.0,280000.0,280000.0,1994,1994
Beaux Arts Village,3.0,745000.0,745000.0,1947,1947
Bellevue,2.0,509000.0,1411600.0,1950,1989
Bellevue,3.0,0.0,2110000.0,1911,2001
Bellevue,4.0,0.0,4489000.0,1918,2013
Bellevue,5.0,0.0,7062500.0,1940,2014
Bellevue,6.0,502000.0,1385000.0,1962,2013
Bellevue,7.0,999000.0,1240000.0,1957,2004
Black Diamond,2.0,398000.0,398000.0,1983,1983
Black Diamond,3.0,224000.0,510000.0,1934,2014
Black Diamond,4.0,0.0,650000.0,1958,2004
Bothell,2.0,551000.0,600000.0,1990,1990
Bothell,3.0,347000.0,571000.0,1955,2006
Bothell,4.0,368112.5,749995.0,1913,2014
Bothell,5.0,436500.0,540000.0,1957,2007
Burien,1.0,245000.0,250000.0,1947,1963
Burien,2.0,100000.0,669000.0,1942,1964
Burien,3.0,150000.0,995000.0,1917,2007
Burien,4.0,142500.0,1035000.0,1944,2013
Burien,5.0,0.0,540500.0,1920,2014
Burien,6.0,0.0,543200.0,1940,1971
Carnation,1.0,80000.0,420850.0,1912,1967
Carnation,2.0,649000.0,649000.0,2005,2005
Carnation,3.0,150000.0,560000.0,1960,1998
Carnation,4.0,310000.0,1680000.0,1978,2007
Clyde Hill,3.0,0.0,0.0,1950,1950
Clyde Hill,4.0,0.0,2400000.0,1950,1983
Clyde Hill,5.0,1325000.0,3800000.0,1963,1978
Covington,2.0,237950.0,249500.0,1963,1987
Covington,3.0,83300.0,450000.0,1964,2012
Covington,4.0,248500.0,2199900.0,1960,2008
Covington,5.0,0.0,205000.0,1978,1990
Des Moines,2.0,168000.0,255000.0,1911,1980
Des Moines,3.0,140000.0,950000.0,1908,2014
Des Moines,4.0,175000.0,604700.0,1953,2005
Des Moines,5.0,199950.0,575000.0,1955,1979
Duvall,2.0,265000.0,460000.0,1960,1976
Duvall,3.0,117833.333333,600000.0,1940,2012
Duvall,4.0,234975.0,955000.0,1965,2006
Duvall,5.0,492500.0,562000.0,1996,2006
Enumclaw,1.0,275000.0,275000.0,1962,1962
Enumclaw,2.0,0.0,302000.0,1925,2007
Enumclaw,3.0,165050.0,667000.0,1905,2014
Enumclaw,4.0,107500.0,687000.0,1920,1994
Enumclaw,5.0,250000.0,297000.0,1928,1994
Fall City,2.0,600000.0,600000.0,1912,1912
Fall City,3.0,275000.0,720000.0,1922,2007
Fall City,4.0,486000.0,740000.0,1964,1998
Fall City,5.0,435000.0,1550000.0,1986,1999
Fall City,6.0,1600000.0,1600000.0,2001,2001
Federal Way,2.0,0.0,503000.0,1948,1986
Federal Way,3.0,0.0,819000.0,1954,2012
Federal Way,4.0,0.0,625000.0,1939,2014
Federal Way,5.0,235500.0,740000.0,1967,2013
Federal Way,6.0,235000.0,472000.0,1958,1980
Inglewood-Finn Hill,4.0,425000.0,425000.0,1967,1967
Issaquah,2.0,195000.0,630000.0,1910,2014
Issaquah,3.0,240000.0,777000.0,1949,2014
Issaquah,4.0,257500.0,1300000.0,1960,2014
Issaquah,5.0,0.0,2238888.0,1931,2010
Issaquah,6.0,611000.0,1150000.0,1970,1996
Issaquah,7.0,840000.0,840000.0,1982,1982
Kenmore,2.0,243000.0,355000.0,1985,1990
Kenmore,3.0,238750.0,551000.0,1927,2011
Kenmore,4.0,0.0,747500.0,1955,2012
Kenmore,5.0,389000.0,1120000.0,1958,1978
Kenmore,6.0,475000.0,475000.0,1924,1924
Kent,1.0,129000.0,129000.0,1967,1967
Kent,2.0,100000.0,253000.0,1912,1985
Kent,3.0,124740.0,26590000.0,1957,2011
Kent,4.0,0.0,599950.0,1923,2007
Kent,5.0,279950.0,568450.0,1969,2006
Kent,6.0,330000.0,375000.0,1951,2012
Kirkland,1.0,285000.0,285000.0,1982,1982
Kirkland,2.0,90000.0,1010000.0,1900,1997
Kirkland,3.0,300000.0,1580000.0,1924,2014
Kirkland,4.0,325000.0,3000000.0,1920,2014
Kirkland,5.0,340000.0,2700000.0,1937,2009
Lake Forest Park,2.0,285000.0,285000.0,1975,1975
Lake Forest Park,3.0,260000.0,590000.0,1939,1999
Lake Forest Park,4.0,0.0,790000.0,1952,1998
Lake Forest Park,5.0,0.0,755000.0,1950,1977
Lake Forest Park,6.0,410000.0,410000.0,1962,1962
Lake Forest Park,7.0,540000.0,540000.0,1948,1948
Maple Valley,2.0,175000.0,241000.0,1980,2005
Maple Valley,3.0,108333.333333,725000.0,1926,2014
Maple Valley,4.0,236000.0,609900.0,1973,2014
Maple Valley,5.0,0.0,555000.0,1986,2004
Medina,4.0,188000.0,3710000.0,1950,2001
Medina,5.0,2680000.0,2680000.0,1985,1985
Mercer Island,2.0,1087500.0,1087500.0,1997,1997
Mercer Island,3.0,0.0,2367000.0,1928,2005
Mercer Island,4.0,0.0,2351956.0,1934,2014
Mercer Island,5.0,542500.0,4668000.0,1952,2008
Mercer Island,6.0,0.0,3100000.0,1950,1999
Mercer Island,7.0,1950000.0,1950000.0,1965,1965
Milton,3.0,250000.0,320000.0,1983,1983
Newcastle,3.0,339900.0,750000.0,1962,2012
Newcastle,4.0,411000.0,1200000.0,1960,2006
Newcastle,5.0,480000.0,1068000.0,1967,2013
Normandy Park,2.0,192000.0,250275.0,1942,1953
Normandy Park,3.0,375000.0,1131000.0,1952,2006
Normandy Park,4.0,0.0,1309500.0,1947,2002
Normandy Park,5.0,403500.0,519000.0,1950,1968
North Bend,2.0,276900.0,295000.0,1925,1963
North Bend,3.0,240000.0,459990.0,1911,2013
North Bend,4.0,295000.0,845000.0,1949,2014
Pacific,2.0,174000.0,174000.0,1979,1979
Pacific,3.0,215000.0,260000.0,1983,2003
Pacific,4.0,220000.0,220000.0,1993,1993
Pacific,5.0,260000.0,260000.0,2007,2007
Preston,2.0,439900.0,439900.0,1909,1909
Preston,3.0,685000.0,685000.0,1990,1990
Ravensdale,2.0,225000.0,225000.0,1975,1975
Ravensdale,3.0,499000.0,630000.0,1959,1995
Ravensdale,4.0,325000.0,792500.0,1976,2004
Redmond,0.0,1295648.0,1295648.0,1990,1990
Redmond,2.0,170000.0,930000.0,1940,2011
Redmond,3.0,216000.0,1700000.0,1955,2013
Redmond,4.0,259950.0,1360000.0,1933,2014
Redmond,5.0,562000.0,1240000.0,1965,2014
Redmond,6.0,583000.0,583000.0,1974,1974
Redmond,7.0,2280000.0,2280000.0,1999,1999
Renton,1.0,355000.0,355000.0,1946,1946
Renton,2.0,127160.0,630000.0,1921,2011
Renton,3.0,137124.0,868500.0,1903,2013
Renton,4.0,0.0,1025000.0,1939,2014
Renton,5.0,0.0,1135250.0,1925,2014
Renton,6.0,300000.0,570000.0,1943,2007
Renton,7.0,350000.0,350000.0,1963,1963
Sammamish,2.0,505000.0,505000.0,1962,1962
Sammamish,3.0,237333.333333,2400000.0,1969,2011
Sammamish,4.0,0.0,1325000.0,1923,2014
Sammamish,5.0,0.0,2000000.0,1968,2014
Sammamish,6.0,968000.0,968000.0,1959,1959
