bedrooms,city,date,price,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,statezip,country
5.0,Seattle,2014-05-02 00:00:00,2384000.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,WA 98119,USA
5.0,Seattle,2014-05-02 00:00:00,1200000.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,WA 98105,USA
5.0,Issaquah,2014-05-02 00:00:00,675000.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,23525 SE 32nd Way,WA 98029,USA
5.0,Bothell,2014-05-02 00:00:00,470000.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,19334 89th Ave NE,WA 98011,USA
5.0,Snoqualmie,2014-05-02 00:00:00,785000.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,7425 Snowberry Ave SE,WA 98065,USA
5.0,Kirkland,2014-05-05 00:00:00,800866.0,2.5,3180,13806,2.0,0,0,4,3180,0,1990,0,11821 NE 48th Pl,WA 98033,USA
5.0,Bellevue,2014-05-05 00:00:00,541125.0,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,2001,5211 116th Pl SE,WA 98006,USA
5.0,Federal Way,2014-05-05 00:00:00,384900.0,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,1997,114 SW 292nd St,WA 98023,USA
5.0,Seattle,2014-05-05 00:00:00,1395000.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,3930 NE Belvoir Pl,WA 98105,USA
5.0,Seattle,2014-05-05 00:00:00,435000.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958,14013 Ashworth Ave N,WA 98133,USA
5.0,Issaquah,2014-05-05 00:00:00,525888.0,1.75,2550,71874,1.0,0,0,5,1810,740,1960,0,13129 195th Pl SE,WA 98027,USA
5.0,Kirkland,2014-05-05 00:00:00,340000.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,14150 75th Ave NE,WA 98034,USA
5.0,Bellevue,2014-05-05 00:00:00,1030000.0,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,0,4529 135th Ave SE,WA 98006,USA
5.0,Des Moines,2014-05-05 00:00:00,210000.0,2.0,2050,10200,1.0,0,0,3,1430,620,1956,2001,20927-20999 2nd Ave S,WA 98198,USA
5.0,Issaquah,2014-05-05 00:00:00,890000.0,3.5,4490,6000,2.0,0,0,3,3200,1290,2006,0,792 Summerhill Ridge Dr NW,WA 98027,USA
