,Unnamed: 0.1,Unnamed: 0,date,price,bedrooms,RATIOD,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,bathrooms
241,241,241,2014-05-07 00:00:00,599999.0,9.0,17.406411372207717,3830,6988,2.5,0,0,3,2450,1380,1938,2003,8809 Densmore Ave N,Seattle,WA 98103,USA,4.5
3911,3911,3911,2014-07-03 00:00:00,340000.0,8.0,15.232974910394265,2790,6695,1.0,0,0,3,1470,1320,1977,2004,17512 Corliss Ave N,Shoreline,WA 98133,USA,2.75
1644,1644,1644,2014-05-30 00:00:00,840000.0,7.0,27.972027972027973,4290,37607,1.5,0,0,5,4290,0,1982,0,13527 231st Pl SE,Issaquah,WA 98027,USA,4.5
291,291,291,2014-05-07 00:00:00,540000.0,7.0,20.84942084942085,3700,7647,2.0,0,1,3,3700,0,1948,1984,15007-15299 37th Ave NE,Lake Forest Park,WA 98155,USA,5.75
122,122,122,2014-05-05 00:00:00,2280000.0,7.0,24.055707955264825,13540,307752,3.0,0,4,3,9410,4130,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,8.0
3370,3370,3370,2014-06-25 00:00:00,280000.0,7.0,20.61855670103093,1940,5458,2.0,0,0,3,1940,0,1994,0,12307 SE 315th Pl,Auburn,WA 98092,USA,2.5
3004,3004,3004,2014-06-20 00:00:00,1240000.0,7.0,26.71837965955613,6630,13782,2.0,0,0,3,4930,1700,2004,2003,16659 SE 69th Way,Bellevue,WA 98006,USA,5.5
3046,3046,3046,2014-06-23 00:00:00,350000.0,7.0,17.857142857142858,2800,9569,1.0,0,2,3,1400,1400,1963,2008,2023 Harrington Pl NE,Renton,WA 98056,USA,3.0
2917,2917,2917,2014-06-20 00:00:00,1950000.0,7.0,60.03694581280788,4640,15235,2.0,0,1,3,2860,1780,1965,2003,8105 SE 44th St,Mercer Island,WA 98040,USA,3.5
4357,4357,4357,2014-05-05 00:00:00,0.0,6.0,0.0,3200,9200,1.0,0,2,4,1600,1600,1953,1983,12271 Marine View Dr SW,Burien,WA 98146,USA,2.75
4341,4341,4341,2014-05-08 00:00:00,375000.0,6.0,19.494697442295696,3206,5793,2.0,0,0,3,3206,0,2012,1912,25921-25929 35th Pl S,Kent,WA 98032,USA,2.25
1463,1463,1463,2014-05-28 00:00:00,465000.0,6.0,18.235294117647058,4250,23326,1.0,0,3,3,2150,2100,1967,2011,29211 7th Pl S,Federal Way,WA 98003,USA,3.25
1467,1467,1467,2014-05-28 00:00:00,968000.0,6.0,44.69067405355494,3610,17580,1.0,0,4,5,2070,1540,1959,0,20303 SE 40th St,Sammamish,WA 98075,USA,2.75
170,170,170,2014-05-06 00:00:00,475000.0,6.0,22.814601344860712,3470,117612,1.5,0,0,3,3470,0,1924,2011,19007 80th Ave NE,Kenmore,WA 98028,USA,3.0
2967,2967,2967,2014-06-20 00:00:00,1135000.0,6.0,27.415458937198068,6900,244716,2.0,0,0,4,4820,2080,2002,0,16903 246th Ave NE,Woodinville,WA 98077,USA,4.25
2731,2731,2731,2014-06-18 00:00:00,1600000.0,6.0,44.07713498622589,6050,230652,2.0,0,3,3,6050,0,2001,0,29236 SE 5th St,Fall City,WA 98024,USA,5.0
3437,3437,3437,2014-06-26 00:00:00,620000.0,6.0,28.703703703703702,3600,6875,2.0,0,0,3,2740,860,2004,2003,6731 Silent Creek Ave SE,Snoqualmie,WA 98065,USA,3.5
4408,4408,4408,2014-05-21 00:00:00,0.0,5.0,0.0,2880,11965,2.0,0,0,4,2880,0,1990,0,25437 163rd Pl SE,Covington,WA 98042,USA,2.25
3946,3946,3946,2014-07-03 00:00:00,1150000.0,5.0,64.24581005586592,3580,8921,2.0,0,0,3,3580,0,2000,0,409 20th Ave,Kirkland,WA 98033,USA,2.5
2277,2277,2277,2014-06-11 00:00:00,248000.0,5.0,32.847682119205295,1510,9078,1.0,0,0,4,1510,0,1959,0,2052 S 132nd St,SeaTac,WA 98168,USA,1.5
2962,2962,2962,2014-06-20 00:00:00,436500.0,5.0,28.070739549839228,3110,12429,1.0,0,0,3,1790,1320,1977,2004,16021-16299 Waynita Way NE,Bothell,WA 98011,USA,3.0
3449,3449,3449,2014-06-26 00:00:00,575000.0,5.0,31.165311653116532,3690,49709,1.0,0,2,3,2690,1000,1960,2012,23444 10th Ave S,Des Moines,WA 98198,USA,3.0
851,851,851,2014-05-18 00:00:00,297000.0,5.0,30.15228426395939,1970,8605,2.0,0,0,4,1970,0,1994,0,419 Wetherbee Ln,Enumclaw,WA 98022,USA,2.5
564,564,564,2014-05-13 00:00:00,1895000.0,5.0,121.47435897435898,3120,16672,2.0,0,0,4,3120,0,1969,0,9045 NE 40th Pl,Yarrow Point,WA 98004,USA,2.25
