,Unnamed: 0.1,Unnamed: 0,date,price,bedrooms,RATIOD,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,bathrooms
176,176,176,2014-05-06 00:00:00,284000.0,4.0,35.5,2000,5390,2.0,0,0,3,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,USA,2.5
331,331,331,2014-05-08 00:00:00,260000.0,4.0,30.516431924882628,2130,8800,1.0,0,0,3,1100,1030,1962,2003,24345 35th Pl S,Kent,WA 98032,USA,1.5
332,332,332,2014-05-08 00:00:00,270000.0,4.0,37.29281767955801,1810,6509,2.0,0,0,3,1810,0,1994,0,14816 SE 278th St,Kent,WA 98042,USA,2.5
336,336,336,2014-05-08 00:00:00,325900.0,4.0,35.11853448275862,2320,6270,2.0,0,0,3,2320,0,2004,2003,15020 SE 281st St,Kent,WA 98042,USA,2.5
344,344,344,2014-05-08 00:00:00,489990.0,5.0,40.16311475409836,2440,20828,1.5,0,0,4,2440,0,1975,0,13711 SE 251 Pl,Kent,WA 98042,USA,2.25
348,348,348,2014-05-08 00:00:00,350000.0,4.0,38.888888888888886,2250,13515,1.0,0,0,4,2150,100,1940,2001,468 Scenic Way,Kent,WA 98030,USA,1.75
427,427,427,2014-05-09 00:00:00,312000.0,4.0,40.41450777202073,1930,7452,1.0,0,0,3,1430,500,1984,0,21423 114th Pl SE,Kent,WA 98031,USA,2.25
467,467,467,2014-05-10 00:00:00,265000.0,4.0,34.149484536082475,1940,9533,1.0,0,0,3,1080,860,1962,2003,9908 S 210th Pl,Kent,WA 98031,USA,1.0
555,555,555,2014-05-13 00:00:00,373000.0,5.0,24.85838053982006,3001,5710,2.0,0,0,3,3001,0,2006,0,25523 123rd Pl SE,Kent,WA 98030,USA,2.5
729,729,729,2014-05-15 00:00:00,316500.0,4.0,36.80232558139535,2150,6807,2.0,0,0,4,2150,0,1991,0,11401 SE 219th Pl,Kent,WA 98031,USA,2.5
859,859,859,2014-05-19 00:00:00,290000.0,4.0,42.64705882352941,1700,7280,2.0,0,0,4,1700,0,1988,0,22020 127th Ct SE,Kent,WA 98031,USA,2.5
945,945,945,2014-05-20 00:00:00,250000.0,4.0,31.887755102040817,1960,7560,1.0,0,0,5,1160,800,1978,0,12206 SE 217th St,Kent,WA 98031,USA,2.0
1006,1006,1006,2014-05-20 00:00:00,250000.0,4.0,25.0,2500,6300,1.0,0,0,4,1500,1000,1961,2001,24911-24917 38th Ave S,Kent,WA 98032,USA,1.5
1137,1137,1137,2014-05-22 00:00:00,480000.0,4.0,36.92307692307692,3250,34293,2.0,0,0,4,3250,0,1983,0,28030 185th Pl SE,Kent,WA 98042,USA,2.25
1152,1152,1152,2014-05-22 00:00:00,430000.0,4.0,33.38509316770186,3220,8936,2.0,0,0,3,2450,770,1990,2009,20301 96th Ave S,Kent,WA 98031,USA,3.0
1205,1205,1205,2014-05-22 00:00:00,330000.0,4.0,26.19047619047619,3150,6202,2.0,0,0,3,3150,0,2005,0,22547 134th Pl SE,Kent,WA 98042,USA,3.5
1231,1231,1231,2014-05-23 00:00:00,235000.0,4.0,32.4585635359116,1810,39639,1.0,0,0,3,1230,580,1970,2014,17421 SE Covington Sawyer Rd,Kent,WA 98042,USA,2.5
1349,1349,1349,2014-05-27 00:00:00,344950.0,4.0,37.011802575107296,2330,6250,1.0,0,0,4,1400,930,1941,1998,440 Scenic Way,Kent,WA 98030,USA,2.0
1361,1361,1361,2014-05-27 00:00:00,283200.0,4.0,35.72149344096872,1982,6406,2.0,0,0,3,1982,0,2004,2003,26526 111th Pl SE,Kent,WA 98030,USA,2.5
1461,1461,1461,2014-05-28 00:00:00,460000.0,4.0,51.5695067264574,2230,52983,2.0,0,0,3,2230,0,1991,0,27209 110th Ave SE,Kent,WA 98030,USA,3.0
1633,1633,1633,2014-05-30 00:00:00,322000.0,4.0,35.30701754385965,2280,7200,2.0,0,0,3,2280,0,1994,0,10012 SE 244th Ct,Kent,WA 98030,USA,2.5
