,Unnamed: 0,date,price,bedrooms,RATIOD,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,bathrooms
0,0,2014-05-02 00:00:00,313000.0,3.0,77.86069651741293,1340,7912,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,1.5
1,1,2014-05-02 00:00:00,2384000.0,5.0,130.63013698630138,3650,9050,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,2.5
2,2,2014-05-02 00:00:00,342000.0,3.0,59.067357512953365,1930,11947,1.0,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,2.0
3,3,2014-05-02 00:00:00,420000.0,3.0,70.0,2000,8030,1.0,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,2.25
4,4,2014-05-02 00:00:00,550000.0,4.0,70.87628865979381,1940,10500,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,2.5
5,5,2014-05-02 00:00:00,490000.0,2.0,278.40909090909093,880,6380,1.0,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,1.0
6,6,2014-05-02 00:00:00,335000.0,2.0,124.07407407407408,1350,2560,1.0,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,2.0
7,7,2014-05-02 00:00:00,482000.0,4.0,44.464944649446494,2710,35868,2.0,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,2.5
8,8,2014-05-02 00:00:00,452500.0,3.0,62.07133058984911,2430,88426,1.0,0,0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,2.5
9,9,2014-05-02 00:00:00,640000.0,4.0,105.26315789473684,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,2.0
10,10,2014-05-02 00:00:00,463000.0,3.0,90.25341130604288,1710,7320,1.0,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,1.75
11,11,2014-05-02 00:00:00,1400000.0,4.0,119.86301369863014,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA,2.5
12,12,2014-05-02 00:00:00,588500.0,3.0,84.19170243204577,2330,14892,1.0,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,1.75
13,13,2014-05-02 00:00:00,365000.0,3.0,111.62079510703364,1090,6435,1.0,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,1.0
