,Unnamed: 0.1,Unnamed: 0,date,price,bedrooms,RATIOD,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,bathrooms
2,2,2,2014-05-02 00:00:00,342000.0,3.0,59.067357512953365,1930,11947,1.0,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,2.0
15,15,15,2014-05-02 00:00:00,242500.0,3.0,67.36111111111111,1200,9720,1.0,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,1.5
63,63,63,2014-05-02 00:00:00,300000.0,3.0,39.37007874015748,2540,5050,2.0,0,0,3,2540,0,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,2.5
176,176,176,2014-05-06 00:00:00,284000.0,4.0,35.5,2000,5390,2.0,0,0,3,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,USA,2.5
244,244,244,2014-05-07 00:00:00,310000.0,3.0,49.9194847020934,2070,37904,1.0,0,0,4,1420,650,1973,0,19654 116th Ave SE,Kent,WA 98031,USA,1.75
262,262,262,2014-05-07 00:00:00,651000.0,3.0,66.9753086419753,3240,108366,2.0,0,0,4,3240,0,1991,0,18611 SE 307th Ln,Kent,WA 98042,USA,2.5
287,287,287,2014-05-07 00:00:00,239900.0,3.0,56.71394799054374,1410,7566,1.0,0,0,3,1410,0,1985,0,11907 SE 261st Pl,Kent,WA 98030,USA,2.0
298,298,298,2014-05-07 00:00:00,160000.0,2.0,76.92307692307692,1040,13100,1.0,0,0,5,1040,0,1912,0,733 1st Ave N,Kent,WA 98032,USA,1.0
331,331,331,2014-05-08 00:00:00,260000.0,4.0,30.516431924882628,2130,8800,1.0,0,0,3,1100,1030,1962,2003,24345 35th Pl S,Kent,WA 98032,USA,1.5
332,332,332,2014-05-08 00:00:00,270000.0,4.0,37.29281767955801,1810,6509,2.0,0,0,3,1810,0,1994,0,14816 SE 278th St,Kent,WA 98042,USA,2.5
335,335,335,2014-05-08 00:00:00,266000.0,3.0,45.70446735395189,1940,8547,1.0,0,0,3,1460,480,1989,0,28123 123rd Pl SE,Kent,WA 98030,USA,2.5
336,336,336,2014-05-08 00:00:00,325900.0,4.0,35.11853448275862,2320,6270,2.0,0,0,3,2320,0,2004,2003,15020 SE 281st St,Kent,WA 98042,USA,2.5
340,340,340,2014-05-08 00:00:00,246000.0,3.0,58.992805755395686,1390,7399,1.0,0,0,4,1390,0,1975,0,11921 SE 205th St,Kent,WA 98031,USA,1.75
