city,bedrooms,date,price,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,statezip,country
Snoqualmie,5.0,2014-05-02 00:00:00,785000.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,7425 Snowberry Ave SE,WA 98065,USA
Snoqualmie,5.0,2014-05-16 00:00:00,675000.0,2.5,3200,6455,2.0,0,0,3,3200,0,2009,0,6227-6299 Whitaker Ln SE,WA 98065,USA
Snoqualmie,5.0,2014-06-05 00:00:00,1075000.0,4.75,5180,17811,2.0,0,2,3,4070,1110,2001,0,6766 Cascade Ave SE,WA 98065,USA
Snoqualmie,5.0,2014-07-01 00:00:00,925000.0,5.5,5190,12637,2.0,0,2,3,5190,0,2001,0,6525 Cascade Ave SE,WA 98065,USA
Snoqualmie,5.0,2014-07-02 00:00:00,480000.0,2.5,2160,7737,2.0,0,0,3,2160,0,1998,2006,7001 Autumn Ave SE,WA 98065,USA
Snoqualmie,5.0,2014-07-07 00:00:00,670000.0,2.5,2860,68519,2.0,0,0,5,2860,0,1958,0,37927 SE 82nd Pl,WA 98065,USA
Snoqualmie,5.0,2014-05-12 00:00:00,0.0,4.5,4630,6324,2.0,0,0,3,3210,1420,2006,0,6925 Oakmont Ave SE,WA 98065,USA
Snoqualmie,5.0,2014-06-25 00:00:00,0.0,3.5,2640,6895,2.0,0,0,3,2640,0,2001,0,34529 SE Jay Ct,WA 98065,USA
Seattle,4.0,2014-05-02 00:00:00,640000.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-02 00:00:00,1400000.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,WA 98105,USA
Seattle,4.0,2014-05-02 00:00:00,495000.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,2021 NE 100th St,WA 98125,USA
Seattle,4.0,2014-05-02 00:00:00,650000.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,7201-7399 55th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-04 00:00:00,628000.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,205-206 Euclid Ave,WA 98122,USA
Seattle,4.0,2014-05-05 00:00:00,831000.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,120 31st Ave E,WA 98112,USA
Seattle,4.0,2014-05-05 00:00:00,657100.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,2011,4312 Woodlawn Ave N,WA 98103,USA
Seattle,4.0,2014-05-05 00:00:00,740000.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,1014 W Garfield St,WA 98119,USA
Seattle,4.0,2014-05-05 00:00:00,449250.0,2.0,1480,3844,1.5,0,0,5,1480,0,1928,1970,519 N 104th St,WA 98133,USA
Seattle,4.0,2014-05-05 00:00:00,631625.0,2.5,2440,6651,2.0,0,0,3,2440,0,2014,0,9288-9358 Holman Rd NW,WA 98117,USA
Seattle,4.0,2014-05-06 00:00:00,312000.0,2.0,1300,7054,1.0,0,0,3,1300,0,1950,2013,2815 SW 107th St,WA 98146,USA
Seattle,4.0,2014-05-06 00:00:00,1135000.0,2.75,3370,8103,1.0,0,3,3,1970,1400,1970,2014,3922 SW Henderson St,WA 98136,USA
Seattle,4.0,2014-05-06 00:00:00,325000.0,2.5,1890,6156,1.0,0,0,3,980,910,1980,0,5631 17th Ave SW,WA 98106,USA
Seattle,4.0,2014-05-06 00:00:00,612500.0,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,2013,1708 NW 96th St,WA 98117,USA
Seattle,4.0,2014-05-06 00:00:00,1225000.0,2.25,3490,6906,2.0,0,0,4,2280,1210,1928,0,2560 39th Ave W,WA 98199,USA
Seattle,4.0,2014-05-06 00:00:00,1580000.0,3.25,3760,10920,1.5,0,0,5,2400,1360,1950,0,5650 NE 55th St,WA 98105,USA
Seattle,4.0,2014-05-07 00:00:00,749950.0,2.75,2600,6050,2.0,0,0,5,1960,640,1949,0,4140 53rd Ave SW,WA 98116,USA
Seattle,4.0,2014-05-07 00:00:00,575000.0,2.0,1650,5000,1.0,0,0,3,1650,0,1955,2005,6708 14th Ave NW,WA 98117,USA
Seattle,4.0,2014-05-07 00:00:00,705000.0,2.5,2650,4316,1.5,0,0,3,1520,1130,1905,2013,1902 45th Ave SW,WA 98116,USA
Seattle,4.0,2014-05-07 00:00:00,940000.0,2.25,1890,5940,1.0,0,1,3,1470,420,1963,2008,1234 22nd Ave E,WA 98112,USA
Seattle,4.0,2014-05-07 00:00:00,794154.0,2.0,2210,8556,1.0,0,1,4,1210,1000,1954,1979,3235 30th Ave W,WA 98199,USA
Seattle,4.0,2014-05-08 00:00:00,1039000.0,1.0,3410,5000,2.0,0,0,5,2190,1220,1910,0,2509 33rd Ave S,WA 98144,USA
Seattle,4.0,2014-05-08 00:00:00,228000.0,1.75,2000,6120,1.0,0,0,3,1100,900,1965,1993,5933 S Eastwood Dr,WA 98178,USA
Seattle,4.0,2014-05-08 00:00:00,530000.0,2.75,2280,2850,1.5,0,0,4,1540,740,1930,0,8013 20th Ave NE,WA 98115,USA
Seattle,4.0,2014-05-08 00:00:00,835000.0,2.0,1910,6960,1.5,0,0,5,1910,0,1941,0,744 N 83rd St,WA 98103,USA
Seattle,4.0,2014-05-09 00:00:00,460000.0,1.75,1750,5500,1.5,0,0,5,1050,700,1926,0,7021 24th Ave NW,WA 98117,USA
Seattle,4.0,2014-05-09 00:00:00,445000.0,2.0,1650,6000,1.0,0,0,5,1000,650,1959,0,2211 20th Ave S,WA 98144,USA
