city,price
Algona,207288.0
Pacific,225233.33333333334
Skykomish,233000.0
SeaTac,245290.62068965516
Milton,285000.0
Federal Way,289887.70398969593
Covington,296230.39867109305
Auburn,299340.44276556815
Des Moines,304992.54679803445
Enumclaw,307614.58333332144
Tukwila,308290.0689655172
Maple Valley,336474.9118055521
Black Diamond,339605.55555555556
Burien,348947.2484985
Renton,377040.9663290205
North Bend,399565.70666666003
Duvall,403994.12698411907
Shoreline,420392.3640469756
Inglewood-Finn Hill,425000.0
Kent,439492.44464821625
Kenmore,447494.0404040303
Lake Forest Park,448475.0
Vashon,472556.8965517241
Bothell,481441.8939393939
Normandy Park,506793.05555555556
Carnation,508751.95454545453
Ravensdale,514071.4285714286
Snoqualmie Pass,525000.0
Snoqualmie,536305.2957746478
Preston,562450.0
Seattle,579837.4672823235
Issaquah,596163.7474747486
Woodinville,609565.0217391305
Kirkland,651583.5919080962
Newcastle,666046.696969697
Redmond,667649.5347812298
Sammamish,686917.5835323657
Fall City,692681.8181818182
Beaux Arts Village,745000.0
Bellevue,847180.6629953356
Mercer Island,1123817.6201550348
Yarrow Point,1194837.5
Clyde Hill,1321945.4545454546
Medina,2046559.0909090908
